,time,open,high,low,close,tick_volume,spread,real_volume
0,2013-04-05 07:00:00,96.28,96.431,96.251,96.368,3014,4,0
1,2013-04-05 08:00:00,96.353,96.358,95.852,96.272,3524,1,0
2,2013-04-05 09:00:00,96.276,96.42,96.171,96.323,2787,1,0
3,2013-04-05 10:00:00,96.324,96.41,96.247,96.256,2555,2,0
4,2013-04-05 11:00:00,96.258,96.332,96.131,96.172,2192,4,0
5,2013-04-05 12:00:00,96.173,96.228,95.97,96.189,2427,1,0
6,2013-04-05 13:00:00,96.188,96.31,96.121,96.251,2098,4,0
7,2013-04-05 14:00:00,96.255,96.651,95.797,96.342,4389,1,0
8,2013-04-05 15:00:00,96.338,96.777,96.222,96.704,4272,1,0
9,2013-04-05 16:00:00,96.703,97.255,96.669,97.155,4530,4,0
10,2013-04-05 17:00:00,97.158,97.184,96.846,96.867,3271,1,0
11,2013-04-05 18:00:00,96.867,97.181,96.863,97.161,2520,4,0
12,2013-04-05 19:00:00,97.163,97.367,97.056,97.34,2151,1,0
13,2013-04-05 20:00:00,97.338,97.79,97.303,97.671,3032,1,0
14,2013-04-05 21:00:00,97.67,97.829,97.627,97.769,2408,4,0
15,2013-04-05 22:00:00,97.772,97.772,97.505,97.52,1671,4,0
16,2013-04-08 00:00:00,98.235,98.783,98.073,98.386,3369,4,0
17,2013-04-08 01:00:00,98.388,98.845,98.382,98.786,2883,4,0
18,2013-04-08 02:00:00,98.791,98.792,98.298,98.467,3817,1,0
19,2013-04-08 03:00:00,98.463,98.622,98.378,98.395,2687,3,0
20,2013-04-08 04:00:00,98.397,98.426,98.315,98.387,1866,1,0
21,2013-04-08 05:00:00,98.385,98.658,98.368,98.515,1965,1,0
22,2013-04-08 06:00:00,98.517,98.61,98.469,98.581,1927,4,0
23,2013-04-08 07:00:00,98.579,98.605,98.444,98.546,1876,4,0
24,2013-04-08 08:00:00,98.547,98.647,98.519,98.591,2637,4,0
25,2013-04-08 09:00:00,98.592,99.0,98.46,98.843,3701,1,0
26,2013-04-08 10:00:00,98.841,98.979,98.807,98.902,2667,4,0
27,2013-04-08 11:00:00,98.904,98.954,98.528,98.633,3305,4,0
28,2013-04-08 12:00:00,98.639,98.757,98.611,98.656,2062,4,0
29,2013-04-08 13:00:00,98.657,98.733,98.516,98.56,2140,1,0
30,2013-04-08 14:00:00,98.558,98.697,98.516,98.592,1894,4,0
31,2013-04-08 15:00:00,98.591,98.629,98.403,98.528,2924,4,0
32,2013-04-08 16:00:00,98.53,98.957,98.523,98.886,3383,1,0
33,2013-04-08 17:00:00,98.891,99.04,98.738,98.905,3132,2,0
